policy,metric,status,full_mean,partial_mean,mean_label,topics_total,topics_observed,observed_topics,censored_topics
auto_tar,recall_at_2R,CENSORED,CENSORED,0.7389131686735575,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
auto_tar,recall_at_2R_plus_0,CENSORED,CENSORED,0.7389131686735575,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
auto_tar,recall_at_2R_plus_100,CENSORED,CENSORED,0.8037801779357696,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
auto_tar,recall_at_2R_plus_1000,CENSORED,CENSORED,0.9362124655199227,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
auto_tar,recall_at_4R_plus_0,CENSORED,CENSORED,0.7805543398824821,PARTIAL recall mean: 3/5 topics,5,3,"C12,C16,GCRIM","C15,C18"
auto_tar,recall_at_4R_plus_100,CENSORED,CENSORED,0.8687635518262272,PARTIAL recall mean: 3/5 topics,5,3,"C12,C16,GCRIM","C15,C18"
auto_tar,recall_at_4R_plus_1000,CENSORED,CENSORED,0.9119931437141786,PARTIAL recall mean: 2/5 topics,5,2,"C12,C16","C15,C18,GCRIM"
auto_tar,recall_at_R,OBSERVED,0.652724617490483,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,batch_effort_at_75,OBSERVED,1525.3999999999999,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,batch_effort_at_80,OBSERVED,1660.5333333333335,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,batch_effort_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,4,"C12,C15,C18,GCRIM",C16
explore_10,depth_fraction_at_75,OBSERVED,0.060699526257433724,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,depth_fraction_at_80,OBSERVED,0.06707273172347258,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,depth_fraction_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,4,"C12,C15,C18,GCRIM",C16
explore_10,depth_per_positive_at_75,OBSERVED,2.062023206243409,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,depth_per_positive_at_80,OBSERVED,2.3443076201363136,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,depth_per_positive_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,4,"C12,C15,C18,GCRIM",C16
explore_10,effort_at_75,OBSERVED,1405.1333333333332,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,effort_at_80,OBSERVED,1552.6666666666667,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,effort_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,4,"C12,C15,C18,GCRIM",C16
explore_10,recall_at_1000,OBSERVED,0.6426357280419769,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,recall_at_1R_plus_0,OBSERVED,0.6310854344650361,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,recall_at_1R_plus_100,OBSERVED,0.6729223556414224,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
explore_10,recall_at_1R_plus_1000,CENSORED,CENSORED,0.9071682204708489,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
