n,positives,reviewed,found_at_20,precision_at_20,recall_at_20,found_at_100,precision_at_100,recall_at_100,found_at_500,precision_at_500,recall_at_500,found_at_1000,precision_at_1000,recall_at_1000,found_at_2000,precision_at_2000,recall_at_2000,found_at_5000,precision_at_5000,recall_at_5000,effort_at_75,wss_at_75,effort_at_90,wss_at_90,topic,seed,policy,seed_doc_id,fits,seconds,batch_effort_at_75,batch_effort_at_90,worker_process_peak_rss_kib
23149,381,23149,15,0.75,0.03937007874015748,62,0.62,0.16272965879265092,87,0.174,0.2283464566929134,106,0.106,0.2782152230971129,143,0.0715,0.3753280839895013,206,0.0412,0.5406824146981627,10314,0.30445159618126055,18131,0.11676962287787807,C12,47,seed_only_frozen,18244,1,0.7484763539996493,10337,18522,344276
23149,381,23149,14,0.7,0.03674540682414698,71,0.71,0.18635170603674542,212,0.424,0.5564304461942258,279,0.279,0.7322834645669292,306,0.153,0.8031496062992126,335,0.067,0.8792650918635171,1143,0.7006242170288134,6985,0.5982591040649704,C12,47,uncertainty,18244,63,5.631255459999011,1233,7704,344276
23149,381,23149,19,0.95,0.049868766404199474,81,0.81,0.2125984251968504,284,0.568,0.7454068241469817,343,0.343,0.9002624671916011,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,508,0.7280552075683615,959,0.8585727245237376,C12,47,auto_tar,18244,63,5.404691195999476,561,991,344276
23149,381,23149,1,0.05,0.0026246719160104987,8,0.08,0.02099737532808399,265,0.53,0.6955380577427821,339,0.339,0.889763779527559,356,0.178,0.9343832020997376,372,0.0744,0.9763779527559056,608,0.7237353665385113,1104,0.8523089550304549,C12,29,fixed_10,19765,2315,313.4172244100009,611,1111,407260
23149,381,23149,19,0.95,0.049868766404199474,79,0.79,0.2073490813648294,269,0.538,0.7060367454068242,337,0.337,0.884514435695538,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,573,0.7252473108989589,1064,0.8540368914423949,C12,47,explore_10,18244,63,5.751445121999495,631,1106,407260
23149,381,23149,15,0.75,0.03937007874015748,80,0.8,0.2099737532808399,285,0.57,0.7480314960629921,341,0.341,0.89501312335958,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,502,0.7283143980301525,1060,0.854209685083589,C12,47,fixed_20,18244,1158,158.5285088360015,521,1061,344276
23149,381,23149,15,0.75,0.03937007874015748,80,0.8,0.2099737532808399,290,0.58,0.7611548556430446,344,0.344,0.9028871391076115,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,466,0.7298695408008985,916,0.8604302561665731,C12,47,fixed_50,18244,463,62.1427876609996,501,951,344276
23149,381,23149,15,0.75,0.03937007874015748,62,0.62,0.16272965879265092,285,0.57,0.7480314960629921,341,0.341,0.89501312335958,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,502,0.7283143980301525,1039,0.8551168516998575,C12,47,fixed_100,18244,232,32.966175785000814,601,1101,344276
23149,381,23149,19,0.95,0.049868766404199474,83,0.83,0.2178477690288714,281,0.562,0.7375328083989501,342,0.342,0.8976377952755905,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,513,0.727839215516869,1007,0.8564992008294094,C12,47,grow_5pct,18244,95,8.482700131999081,552,1059,344276
23149,381,23149,19,0.95,0.049868766404199474,80,0.8,0.2099737532808399,273,0.546,0.7165354330708661,338,0.338,0.8871391076115486,358,0.179,0.9396325459317585,371,0.0742,0.973753280839895,567,0.7255065013607499,1032,0.855419240571947,C12,47,grow_20pct,18244,40,3.018012562999502,568,1227,344276
23149,4179,23149,3,0.15,0.0007178750897343862,13,0.13,0.0031107920555156735,93,0.186,0.022254127781765973,173,0.173,0.04139746350801627,378,0.189,0.09045226130653267,895,0.179,0.21416606843742522,17200,0.006987342865782509,20812,0.0009546848675968667,C15,11,random,16057,0,0.05030607800108555,18522,22473,344276
23149,4179,23149,20,1.0,0.004785833931562575,74,0.74,0.017707585546781528,281,0.562,0.06724096673845417,497,0.497,0.11892797319932999,882,0.441,0.21105527638190955,1770,0.354,0.4235463029432879,11891,0.23632770314052443,16624,0.18186962719771915,C15,11,seed_similarity,16057,0,0.7719717180007137,12563,16812,344276
23149,4179,23149,13,0.65,0.0031107920555156735,63,0.63,0.01507537688442211,257,0.514,0.06149796602057909,481,0.481,0.11509930605407992,874,0.437,0.20914094280928452,1832,0.3664,0.43838238813113184,11972,0.23282863190634584,17571,0.14096073264503872,C15,11,seed_only_frozen,16057,1,0.7308891049997328,12563,18522,344276
