topic,policy,metric,status,value,numerator,denominator,seeds_total,seeds_observed,censored_seeds
GCRIM,seed_similarity,recall_at_1R_plus_100,OBSERVED,0.3115622241835834,353.0,1133.0,3,3,
GCRIM,seed_similarity,recall_at_1R_plus_1000,OBSERVED,0.40688437775816416,461.0,1133.0,3,3,
GCRIM,seed_similarity,recall_at_2R,OBSERVED,0.41894674904383644,1424.0,3399.0,3,3,
GCRIM,seed_similarity,recall_at_2R_plus_0,OBSERVED,0.41894674904383644,1424.0,3399.0,3,3,
GCRIM,seed_similarity,recall_at_2R_plus_100,OBSERVED,0.4251250367755222,1445.0,3399.0,3,3,
GCRIM,seed_similarity,recall_at_2R_plus_1000,OBSERVED,0.502206531332745,569.0,1133.0,3,3,
GCRIM,seed_similarity,recall_at_4R_plus_0,OBSERVED,0.5828184760223595,1981.0,3399.0,3,3,
GCRIM,seed_similarity,recall_at_4R_plus_100,OBSERVED,0.5889967637540453,182.0,309.0,3,3,
GCRIM,seed_similarity,recall_at_4R_plus_1000,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,seed_similarity,recall_at_R,OBSERVED,0.2971462194763166,1010.0,3399.0,3,3,
GCRIM,uncertainty,batch_effort_at_75,CENSORED,CENSORED,,,3,1,"11,47"
GCRIM,uncertainty,batch_effort_at_80,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,batch_effort_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,depth_fraction_at_75,CENSORED,CENSORED,,,3,1,"11,47"
GCRIM,uncertainty,depth_fraction_at_80,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,depth_fraction_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,depth_per_positive_at_75,CENSORED,CENSORED,,,3,1,"11,47"
GCRIM,uncertainty,depth_per_positive_at_80,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,depth_per_positive_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,effort_at_75,CENSORED,CENSORED,,,3,1,"11,47"
GCRIM,uncertainty,effort_at_80,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,effort_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,overshoot_at_75,CENSORED,CENSORED,,,3,1,"11,47"
GCRIM,uncertainty,overshoot_at_80,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,overshoot_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,recall_at_1000,OBSERVED,0.4336569579288026,134.0,309.0,3,3,
GCRIM,uncertainty,recall_at_1R_plus_0,OBSERVED,0.4836716681376876,548.0,1133.0,3,3,
GCRIM,uncertainty,recall_at_1R_plus_100,OBSERVED,0.5063253898205354,1721.0,3399.0,3,3,
GCRIM,uncertainty,recall_at_1R_plus_1000,OBSERVED,0.6463665784054133,2197.0,3399.0,3,3,
GCRIM,uncertainty,recall_at_2R,OBSERVED,0.6566637246248896,744.0,1133.0,3,3,
GCRIM,uncertainty,recall_at_2R_plus_0,OBSERVED,0.6566637246248896,744.0,1133.0,3,3,
GCRIM,uncertainty,recall_at_2R_plus_100,OBSERVED,0.6649014416004707,2260.0,3399.0,3,3,
GCRIM,uncertainty,recall_at_2R_plus_1000,OBSERVED,0.707855251544572,802.0,1133.0,3,3,
GCRIM,uncertainty,recall_at_4R_plus_0,OBSERVED,0.7419829361576934,2522.0,3399.0,3,3,
GCRIM,uncertainty,recall_at_4R_plus_100,OBSERVED,0.7434539570461901,2527.0,3399.0,3,3,
GCRIM,uncertainty,recall_at_4R_plus_1000,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,uncertainty,recall_at_R,OBSERVED,0.4836716681376876,548.0,1133.0,3,3,
