reviews,random,seed_similarity,frozen_svm,uncertainty,auto_tar,fixed_20,explore_10
88,0.009889336719755403,0.05035811379145402,0.04943157263753409,0.09707829834345978,0.10232117539025312,0.09924941297451535,0.10172819437969631
89,0.010123155683029302,0.050564997478731805,0.049756137995891604,0.09796441247820584,0.10303231139726517,0.09986934971112155,0.10255546767890251
90,0.010356974646303202,0.05093516247229223,0.04993537208194612,0.09875932734254608,0.10374344740427723,0.10052164488259373,0.10326660368591453
91,0.010636393244780018,0.05111710813778169,0.05014651172754439,0.09927482360840952,0.10445458341128927,0.10259332510729284,0.1039777396929266
92,0.010668298804323769,0.051532872766545036,0.05026961655749398,0.09969058823717283,0.1051657194183013,0.10312948298657085,0.10468887569993862
93,0.010668298804323769,0.05179859728936268,0.05041920378811746,0.10057670237191893,0.1058312557901104,0.10379501935837995,0.10540001170695068
94,0.010668298804323769,0.05200973693496096,0.050601149453606914,0.10112184549321342,0.10642471012604272,0.10450615536539204,0.10611114771396271
95,0.010684251584095642,0.05242821314315924,0.05073749548389344,0.10191676035755366,0.10707700529751492,0.10528782902939533,0.10612710049373458
96,0.010716157143639393,0.052534912318014736,0.05106477242168588,0.10231928378598004,0.1079042785967211,0.10595336540120442,0.10695437379294079
97,0.010761756778842313,0.05279165159881592,0.05125995928751228,0.10279660082971821,0.1087903927314672,0.10683947953595051,0.10773604745694408
98,0.010761756778842313,0.05317776937214823,0.051337464482258954,0.10350773683673023,0.1096176660306734,0.10737563741522851,0.10856332075615031
99,0.010995575742116211,0.05350504630994067,0.05153265134808535,0.10437789819170443,0.1103993396946767,0.10791179529450654,0.10939059405535652
100,0.010995575742116211,0.05380312926762429,0.05177343784911466,0.1050730814189446,0.11122661299388291,0.10844795317378453,0.11023110855489966
101,0.011011528521888084,0.0539554280776827,0.05214360284267509,0.10572537659041677,0.11176277087316093,0.10927522647299075,0.11101278221890297
102,0.011011528521888084,0.05404888605220125,0.05233878970850148,0.10655264988962297,0.1124150660446331,0.10998636248000278,0.11302562160806219
103,0.011011528521888084,0.05436021021022181,0.05275455433726484,0.10715934542589224,0.11319673970863636,0.11087247661474887,0.1138528949072684
104,0.011057128157091005,0.05468477556857933,0.054501216328284224,0.1079410190898955,0.11391957253709979,0.11158361262176092,0.11462132737093475
105,0.011057128157091005,0.054879962434405724,0.05630517477595791,0.10873593395423577,0.1144674272378292,0.11236528628576418,0.11527362254240694
106,0.011118680572065798,0.05548665797067499,0.0564547620065814,0.10932667671073316,0.11648026662698846,0.11307642229277623,0.11610089584161316
107,0.011134633351837672,0.05582717610880438,0.05657786683653099,0.10997626030277037,0.11689874283518674,0.11391693679231939,0.11670759137788239
108,0.011430004730086365,0.0560637066515132,0.056948031830091415,0.11067144353001056,0.11772601613439293,0.11462807279933143,0.11735988654935457
109,0.011475604365289284,0.05622924666190856,0.057493174951385874,0.1126815713397349,0.11820333317813106,0.11528036797080363,0.11814156021335785
110,0.011491557145061159,0.05664501129067191,0.059180996106865384,0.11350884463894112,0.11885562834960324,0.1161076412700098,0.11857327762189308
111,0.011507509924833032,0.05679731010073032,0.05953791990008887,0.11433340635871238,0.11968290164880947,0.11681877727702189,0.11922557279336529
112,0.011523462704604909,0.057167475094290744,0.06143036603873347,0.11494010189498165,0.12033519682028165,0.11751396050426202,0.11922557279336529
113,0.011773234447650681,0.057540351667286105,0.06174169019675404,0.11529702568820513,0.12117571131982482,0.1182250965112741,0.12011168692811133
114,0.011773234447650681,0.05814704720355535,0.06187803622704058,0.11723507146205263,0.1220618254545709,0.11905236981048027,0.12088011939177769
115,0.011773234447650681,0.05848756534168475,0.062482020183874915,0.1176964357260189,0.124308483807004,0.11987964310968649,0.12176623352652377
116,0.011789187227422558,0.059984455589658356,0.0631136537419325,0.11811220035478225,0.12513575710621025,0.12076575724443256,0.12259350682572999
117,0.011805140007194431,0.06035462058321879,0.06359995602768709,0.11845271849291164,0.12602187124095632,0.12163591859940676,0.12347962096047607
118,0.011850739642397351,0.060445366978302405,0.0637522548377455,0.11872269897404979,0.1269079853757024,0.12211323564314493,0.1257262793129092
119,0.011850739642397351,0.06071109150112006,0.0640089941185467,0.11931615330998209,0.1277352586749086,0.12282437165015693,0.1263785744843814
120,0.011909580477937215,0.06092223114671833,0.06444969676909837,0.11949809897547152,0.12862137280965463,0.12353550765716899,0.12704411085619052
121,0.011925533257709089,0.061483327047784676,0.06476373250655387,0.11992981638400677,0.12931655603689485,0.12418780282864116,0.1279302249909366
122,0.011941486037480966,0.06156083224253133,0.06507505666457443,0.12052055914050412,0.13018671739186904,0.12501507612784735,0.12858252016240876
