n,positives,reviewed,found_at_20,precision_at_20,recall_at_20,found_at_100,precision_at_100,recall_at_100,found_at_500,precision_at_500,recall_at_500,found_at_1000,precision_at_1000,recall_at_1000,found_at_2000,precision_at_2000,recall_at_2000,found_at_5000,precision_at_5000,recall_at_5000,effort_at_75,wss_at_75,effort_at_90,wss_at_90,topic,seed,policy,seed_doc_id,fits,seconds,batch_effort_at_75,batch_effort_at_90
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,41,0.082,0.8367346938775511,44,0.044,0.8979591836734694,45,0.0225,0.9183673469387755,46,0.0092,0.9387755102040817,395.0,0.7329366279320921,1639.0,0.8291978055207568,C16,11,uncertainty,3296,47,1.36389539899983,441.0,1697.0
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,41,0.082,0.8367346938775511,44,0.044,0.8979591836734694,45,0.0225,0.9183673469387755,46,0.0092,0.9387755102040817,395.0,0.7329366279320921,1639.0,0.8291978055207568,C16,11,auto_tar,3296,47,1.3292415280000114,441.0,1697.0
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,42,0.084,0.8571428571428571,44,0.044,0.8979591836734694,45,0.0225,0.9183673469387755,46,0.0092,0.9387755102040817,403.0,0.732591040649704,1642.0,0.8290682102898613,C16,11,fixed_20,3296,250,9.306165691999922,421.0,1661.0
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,41,0.082,0.8367346938775511,44,0.044,0.8979591836734694,45,0.0225,0.9183673469387755,46,0.0092,0.9387755102040817,444.0,0.7308199058274656,1782.0,0.8230204328480712,C16,11,explore_10,3296,47,1.140418058000023,498.0,1884.0
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,1,0.002,0.02040816326530612,1,0.001,0.02040816326530612,2,0.001,0.04081632653061224,12,0.0024,0.24489795918367346,,,,,C16,29,random,22270,0,0.01585461599984228,,
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,2,0.004,0.04081632653061224,7,0.007,0.14285714285714285,12,0.006,0.24489795918367346,20,0.004,0.40816326530612246,,,,,C16,29,seed_similarity,22270,0,0.47962517900009516,,
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,3,0.006,0.061224489795918366,4,0.004,0.08163265306122448,7,0.0035,0.14285714285714285,18,0.0036,0.3673469387755102,,,,,C16,29,frozen_svm,22270,1,0.31076474300016343,,
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,44,0.088,0.8979591836734694,44,0.044,0.8979591836734694,44,0.022,0.8979591836734694,45,0.009,0.9183673469387755,236.0,0.7398051751695538,3946.0,0.729539072962115,C16,29,uncertainty,22270,47,1.555494316000022,266.0,4252.0
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,44,0.088,0.8979591836734694,44,0.044,0.8979591836734694,44,0.022,0.8979591836734694,45,0.009,0.9183673469387755,236.0,0.7398051751695538,3946.0,0.729539072962115,C16,29,auto_tar,22270,47,1.337092329999905,266.0,4252.0
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,42,0.084,0.8571428571428571,43,0.043,0.8775510204081632,44,0.022,0.8979591836734694,45,0.009,0.9183673469387755,282.0,0.7378180482958228,3938.0,0.729884660244503,C16,29,fixed_20,22270,250,16.59022041000003,301.0,3941.0
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,44,0.088,0.8979591836734694,44,0.044,0.8979591836734694,44,0.022,0.8979591836734694,45,0.009,0.9183673469387755,255.0,0.7389844053738822,4319.0,0.7134260659207742,C16,29,explore_10,22270,47,1.9143657039999198,266.0,4698.0
23149,49,5000,1,0.05,0.02040816326530612,1,0.01,0.02040816326530612,1,0.002,0.02040816326530612,1,0.001,0.02040816326530612,6,0.003,0.12244897959183673,12,0.0024,0.24489795918367346,,,,,C16,47,random,2729,0,0.025452978999965126,,
23149,49,5000,2,0.1,0.04081632653061224,7,0.07,0.14285714285714285,28,0.056,0.5714285714285714,31,0.031,0.6326530612244898,35,0.0175,0.7142857142857143,43,0.0086,0.8775510204081632,2876.0,0.625761371981511,,,C16,47,seed_similarity,2729,0,0.7276671399999941,3145.0,
23149,49,5000,2,0.1,0.04081632653061224,7,0.07,0.14285714285714285,28,0.056,0.5714285714285714,31,0.031,0.6326530612244898,33,0.0165,0.673469387755102,38,0.0076,0.7755102040816326,4629.0,0.5500345587282388,,,C16,47,frozen_svm,2729,1,0.45375535700009095,4698.0,
23149,49,5000,13,0.65,0.2653061224489796,32,0.32,0.6530612244897959,42,0.084,0.8571428571428571,42,0.042,0.8571428571428571,43,0.0215,0.8775510204081632,45,0.009,0.9183673469387755,177.0,0.7423538813771653,4965.0,0.6855198928679425,C16,47,uncertainty,2729,47,1.5865843980000136,203.0,5000.0
