metric,method_a,method_b,topics_total,censored_topics,topic,status,difference
batch_effort_at_80,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,uncertainty,auto_tar,5,"C15,GCRIM",C12,OBSERVED,1151.3333333333333
batch_effort_at_80,uncertainty,auto_tar,5,"C15,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,uncertainty,auto_tar,5,"C15,GCRIM",C16,OBSERVED,-11.0
batch_effort_at_80,uncertainty,auto_tar,5,"C15,GCRIM",C18,OBSERVED,2852.3333333333335
batch_effort_at_80,uncertainty,auto_tar,5,"C15,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,uncertainty,fixed_20,5,"C15,GCRIM",C12,OBSERVED,1246.0
batch_effort_at_80,uncertainty,fixed_20,5,"C15,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,uncertainty,fixed_20,5,"C15,GCRIM",C16,OBSERVED,17.333333333333332
batch_effort_at_80,uncertainty,fixed_20,5,"C15,GCRIM",C18,OBSERVED,2975.0
batch_effort_at_80,uncertainty,fixed_20,5,"C15,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,uncertainty,explore_10,5,"C15,GCRIM",C12,OBSERVED,1125.6666666666667
batch_effort_at_80,uncertainty,explore_10,5,"C15,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,uncertainty,explore_10,5,"C15,GCRIM",C16,OBSERVED,2.6666666666666665
batch_effort_at_80,uncertainty,explore_10,5,"C15,GCRIM",C18,OBSERVED,2665.3333333333335
